js_vx_desire,js_vy_desire,js_OmegaZ_desire,global_x,global_y,global_yaw
0.439056,0,0.8737,15,6.49959,1.5708
0.4406,0,0.87357,15.0005,6.49933,1.57422
0.4406,0,0.87357,15.001,6.499,1.58696
0.4406,0,0.87357,15.0019,6.49993,1.60818
0.4406,0,0.87357,15.0028,6.5013,1.63128
0.4406,0,0.87357,15.0033,6.50278,1.65235
0.4406,0,0.87357,15.0033,6.50459,1.67052
0.4406,0,0.87357,15.0027,6.50709,1.68665
0.978724,0,0.589974,15.0015,6.51038,1.70349
0.978724,0,0.589974,14.9998,6.51424,1.71746
0.978724,0,0.589974,14.9976,6.5185,1.72721
0.978724,0,0.589974,14.9951,6.52314,1.7372
0.978724,0,0.589974,14.992,6.52829,1.75091
0.978724,0,0.589974,14.9884,6.53408,1.76564
0.978724,0,0.589974,14.984,6.54059,1.77817
1,0,0.363107,14.9791,6.54776,1.79095
1,0,0.363107,14.9737,6.55566,1.79998
1,0,0.363107,14.9678,6.56425,1.80622
1,0,0.363107,14.9616,6.5736,1.81187
1,0,0.363107,14.955,6.58366,1.8177
1,0,0.363107,14.9482,6.59444,1.82338
1,0,0.363107,14.941,6.60597,1.82907
1,0,0.363107,14.9336,6.61839,1.83394
1,0,0.387361,14.9261,6.63187,1.83816
1,0,0.387361,14.9193,6.64639,1.83908
1,0,0.387361,14.913,6.66197,1.84025
1,0,0.387361,14.9067,6.67899,1.84186
1,0,0.387361,14.9004,6.69725,1.84543
1,0,0.387361,14.8939,6.71597,1.8533
1,0,0.387361,14.8877,6.73479,1.86122
1,0,0.425437,14.8818,6.75383,1.86831
1,0,0.425437,14.8768,6.77315,1.87472
1,0,0.425437,14.8722,6.79251,1.88031
1,0,0.425437,14.8675,6.81201,1.88379
1,0,0.425437,14.8626,6.83195,1.88615
1,0,0.425437,14.858,6.85249,1.8897
1,0,0.409605,14.8541,6.87366,1.89441
1,0,0.409605,14.8505,6.89554,1.89835
1,0,0.409605,14.8462,6.91835,1.90399
1,0,0.409605,14.8407,6.94161,1.91142
1,0,0.409605,14.8344,6.96486,1.91705
1,0,0.409605,14.8269,6.98843,1.9255
1,0,0.409605,14.819,7.01228,1.93525
1,0,0.436349,14.8115,7.03489,1.94356
1,0,0.436349,14.8032,7.05648,1.9547
1,0,0.436349,14.7944,7.07685,1.96613
1,0,0.436349,14.7856,7.0961,1.97706
1,0,0.436349,14.777,7.11465,1.98834
1,0,0.436349,14.7682,7.13287,2.00024
1,0,0.436349,14.7591,7.15075,2.01256
1,0,0.436349,14.7492,7.16811,2.02517
1,0,0.407968,14.7388,7.18493,2.03762
1,0,0.407968,14.7278,7.20149,2.04906
1,0,0.407968,14.7164,7.21818,2.05892
1,0,0.407968,14.7046,7.23525,2.06705
1,0,0.407968,14.6927,7.2528,2.07317
1,0,0.407968,14.6805,7.2708,2.07734
1,0,0.407968,14.6682,7.28928,2.08011
1,0,0.373942,14.6556,7.30806,2.08085
1,0,0.373942,14.6424,7.32653,2.0783
1,0,0.373942,14.6292,7.34507,2.07573
1,0,0.373942,14.616,7.36335,2.0739
1,0,0.373942,14.6033,7.38164,2.07476
1,0,0.373942,14.5915,7.40037,2.07878
1,0,0.373942,14.58,7.41947,2.08421
1,0,0.373942,14.5684,7.43868,2.09014
1,0,0.428341,14.5568,7.45762,2.09706
1,0,0.428341,14.5452,7.47622,2.10569
1,0,0.428341,14.5338,7.49487,2.11513
1,0,0.428341,14.5225,7.51371,2.12351
1,0,0.428341,14.5116,7.53261,2.13032
1,0,0.428341,14.5011,7.55112,2.13608
1,0,0.428341,14.4908,7.56908,2.14067
1,0,0.414873,14.4804,7.58701,2.14467
1,0,0.414873,14.4701,7.6056,2.14911
1,0,0.414873,14.4602,7.62516,2.15382
1,0,0.414873,14.4503,7.64543,2.1592
1,0,0.414873,14.4403,7.66552,2.16381
1,0,0.414873,14.4293,7.68536,2.17248
1,0,0.414873,14.4176,7.70558,2.18292
1,0,0.377408,14.4053,7.72581,2.19447
1,0,0.377408,14.3924,7.7455,2.20619
1,0,0.377408,14.3787,7.76453,2.21777
1,0,0.377408,14.3647,7.7828,2.22788
1,0,0.377408,14.3501,7.80026,2.23792
1,0,0.377408,14.3351,7.8168,2.24801
1,0,0.377408,14.3204,7.83235,2.25744
1,0,0.376049,14.3063,7.84734,2.26683
1,0,0.376049,14.2923,7.86216,2.27663
1,0,0.376049,14.2777,7.87668,2.28696
1,0,0.376049,14.2622,7.89067,2.29805
1,0,0.376049,14.2459,7.90421,2.30973
1,0,0.376049,14.2292,7.91756,2.32068
1,0,0.376049,14.2122,7.93101,2.32837
1,0,0.342381,14.1956,7.94489,2.33321
1,0,0.342381,14.1787,7.95891,2.33333
1,0,0.342381,14.1616,7.97314,2.33267
1,0,0.342381,14.1446,7.98743,2.33159
1,0,0.342381,14.1279,8.0018,2.33138
1,0,0.342381,14.1115,8.01654,2.33322
1,0,0.342381,14.0955,8.03146,2.3378
1,0,0.342381,14.0798,8.0468,2.34397
1,0,0.37064,14.0646,8.06256,2.35007
1,0,0.37064,14.0497,8.07846,2.35566
1,0,0.37064,14.0352,8.09426,2.36043
1,0,0.37064,14.0212,8.10972,2.36383
1,0,0.37064,14.0074,8.12463,2.36516
1,0,0.37064,13.9938,8.13927,2.36541
1,0,0.37064,13.9805,8.15436,2.36721
1,0,0.335095,13.9677,8.17048,2.3705
1,0,0.335095,13.955,8.18774,2.37353
1,0,0.335095,13.9419,8.20491,2.37587
1,0,0.335095,13.9277,8.22145,2.38081
1,0,0.335095,13.9128,8.2384,2.38728
1,0,0.335095,13.8973,8.25568,2.39504
1,0,0.335095,13.8814,8.27271,2.4047
1,0,0.335095,13.8649,8.28905,2.41577
1,0,0.330544,13.848,8.30471,2.42558
1,0,0.330544,13.8309,8.31954,2.43414
1,0,0.330544,13.8135,8.33352,2.44258
1,0,0.330544,13.7961,8.34659,2.45031
1,0,0.330544,13.7794,8.35896,2.45772
1,0,0.330544,13.7632,8.37117,2.46576
1,0,0.330544,13.7468,8.38321,2.47447
1,0,0.338708,13.7297,8.39472,2.48392
1,0,0.338708,13.7118,8.40553,2.49423
1,0,0.338708,13.6935,8.41585,2.50507
1,0,0.338708,13.6747,8.42607,2.51532
1,0,0.338708,13.6556,8.43625,2.52198
1,0,0.338708,13.6366,8.44678,2.5272
1,0,0.338708,13.6176,8.45759,2.52823
1,0,0.338708,13.5981,8.46831,2.52649
1,0,0.297234,13.5784,8.47917,2.52491
1,0,0.297234,13.5587,8.49016,2.5233
1,0,0.297234,13.5394,8.50129,2.52159
1,0,0.297234,13.5204,8.51295,2.52202
1,0,0.297234,13.5019,8.52485,2.52579
1,0,0.297234,13.4838,8.53722,2.53078
1,0,0.297234,13.4658,8.54967,2.53606
1,0,0.338424,13.4481,8.562,2.54129
1,0,0.338424,13.4308,8.57428,2.54642
1,0,0.338424,13.4138,8.58657,2.55075
1,0,0.338424,13.3973,8.59858,2.55343
1,0,0.338424,13.3813,8.61013,2.55424
1,0,0.338424,13.3654,8.62162,2.55481
1,0,0.338424,13.3498,8.63385,2.55696
1,0,0.303663,13.3343,8.64721,2.55999
1,0,0.303663,13.3184,8.66157,2.56331
1,0,0.303663,13.3021,8.67565,2.56577
1,0,0.303663,13.2852,8.68921,2.57044
1,0,0.303663,13.2673,8.70285,2.57804
1,0,0.303663,13.2486,8.71656,2.58732
1,0,0.303663,13.2295,8.72972,2.59746
1,0,0.303663,13.2101,8.74208,2.60686
1,0,0.322372,13.1907,8.75346,2.61564
1,0,0.322372,13.1709,8.76388,2.62493
1,0,0.322372,13.1511,8.77341,2.63381
1,0,0.322372,13.1321,8.78224,2.64182
1,0,0.322372,13.1137,8.79087,2.65006
1,0,0.322372,13.0954,8.79937,2.65904
1,0,0.322372,13.0766,8.80737,2.66874
1,0,0.322372,13.0571,8.81458,2.67918
1,0,0.335396,13.0372,8.82113,2.69012
1,0,0.335396,13.0169,8.82741,2.70092
1,0,0.335396,12.9962,8.83371,2.70678
1,0,0.335396,12.9758,8.84065,2.70868
1,0,0.335396,12.9552,8.84755,2.7081
1,0,0.335396,12.9345,8.85459,2.70804
1,0,0.335396,12.9139,8.86182,2.7079
1,0,0.271275,12.8935,8.86923,2.70741
1,0,0.271275,12.8734,8.8771,2.70749
1,0,0.271275,12.8533,8.88559,2.70935
1,0,0.271275,12.8334,8.89437,2.71359
1,0,0.271275,12.8138,8.90353,2.71859
1,0,0.271275,12.7944,8.91288,2.72317
1,0,0.271275,12.7753,8.92232,2.72666
1,0,0.271275,12.7566,8.93178,2.72875
1,0,0.316002,12.7385,8.94096,2.72895
1,0,0.316002,12.7207,8.94976,2.72789
1,0,0.316002,12.703,8.9588,2.72817
1,0,0.316002,12.6854,8.96884,2.73045
1,0,0.316002,12.6676,8.98008,2.73344
1,0,0.316002,12.6494,8.99154,2.73684
1,0,0.310371,12.6308,9.00252,2.74037
1,0,0.310371,12.6112,9.01319,2.74713
1,0,0.310371,12.5907,9.02347,2.75641
1,0,0.310371,12.5697,9.03305,2.76634
1,0,0.310371,12.5483,9.0418,2.77612
1,0,0.310371,12.5269,9.04991,2.78522
1,0,0.310371,12.5054,9.05725,2.79369
1,0,0.310371,12.4839,9.06373,2.80178
1,0,0.310371,12.463,9.06947,2.80912
1,0,0.335114,12.4429,9.07496,2.81668
1,0,0.335114,12.4229,9.08043,2.82555
1,0,0.335114,12.4026,9.08546,2.83559
1,0,0.335114,12.3816,9.08962,2.84632
1,0,0.335114,12.3603,9.09296,2.85756
1,0,0.335114,12.3386,9.09579,2.86797
1,0,0.335114,12.3168,9.09861,2.87581
1,0,0.324421,12.2952,9.10207,2.88062
1,0,0.324421,12.2732,9.10561,2.88027
1,0,0.324421,12.2508,9.10913,2.87961
1,0,0.324421,12.2284,9.11274,2.87849
1,0,0.324421,12.2062,9.11651,2.87714
1,0,0.324421,12.1843,9.12075,2.87721
1,0,0.324421,12.1627,9.12523,2.88079
1,0,0.333502,12.1412,9.13036,2.88656
1,0,0.333502,12.1199,9.13596,2.8927
1,0,0.333502,12.0988,9.14178,2.8984
1,0,0.333502,12.0782,9.14769,2.90316
1,0,0.333502,12.0582,9.15362,2.90652
1,0,0.333502,12.0387,9.15925,2.90771
1,0,0.333502,12.0195,9.16457,2.90727
1,0,0.333502,12.0005,9.17026,2.90789
1,0,0.307231,11.9814,9.17699,2.91038
1,0,0.307231,11.9619,9.18471,2.91277
1,0,0.307231,11.9416,9.19279,2.91776
1,0,0.307231,11.921,9.20046,2.92271
1,0,0.307231,11.8998,9.20741,2.92933
