Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.4954E-07,0.0014987,-0.043143,0,0,0,1.3664,0.00922994,7.0406E-08,5E-08,0.01001359,0,0.0096706,0,0,0,0,0,0,package://足式双臂机器人C/meshes/base_link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/base_link.STL,,000 基体-1,base cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch,-5.8417E-09,0.047044,-1.263E-07,0,0,0,1.3596,0.0042882,-1.1133E-09,8.94E-06,0.00343704,1E-08,0.00429855,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_hip_pitch.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_hip_pitch.STL,,201-1,left hip pitch cs,"left hip pitch a ",left_hip_pitch,revolute,0,0.049982,-0.028857,-0.5236,0,0,base_link,0,1,0,300,9.21,-2.62,2.62,,,,,,,,
left_hip_roll,0.0089048,-5.2861E-08,-0.028158,0,0,0,1.2346,0.00332614,6.7047E-10,0,0.00315452,3.744E-05,0.00162888,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_hip_roll.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_hip_roll.STL,,202-1;203-2,"left hip roll cs ","left hip roll a ",left_hip_roll,revolute,-0.0075,0.108,0,0.5236,0,0,left_hip_pitch,1,0,0,150,8.9,-0.17,1.92,,,,,,,,
left_hip_yaw,-0.0068496,-0.00064855,-0.11018,0,0,0,5.9271,0.05684188,-0.00011147,-0.00070673,0.05357022,-0.00252756,0.02047,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_hip_yaw.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_hip_yaw.STL,,204-2,"left hip yaw cs ","left hip yaw a ",left_hip_yaw,revolute,0.008,0,-0.115,0,0,0,left_hip_roll,0,0,1,150,8.37,-1.57,1.57,,,,,,,,
left_knee,0.0088813,-2.5267E-05,-0.18917,0,0,0,2.8658,0.03712662,-3.4E-06,-5.718E-05,0.03657024,0.00072063,0.003628,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_knee.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_knee.STL,,205-2,left knee cs,left knee a,left_knee,revolute,-0.0205,0,-0.31,0,0,0,left_hip_yaw,0,1,0,300,9.21,0,2.62,,,,,,,,
left_ankle_pitch,0,-2.7756E-17,2.2204E-16,0,0,0,0.018319,2.81E-06,1.2497E-23,-1.6538E-38,2.01E-06,-7.9695E-23,2.01E-06,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_ankle_pitch.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_ankle_pitch.STL,,206-2,left ankle pitch cs,left ankle pitch a,left_ankle_pitch,revolute,0.01,0,-0.405,0,0,0,left_knee,0,1,0,100,8.79,-0.87,0.52,,,,,,,,
left_ankle_roll,0.045764,0.0017446,-0.024974,0,0,0,0.58288,0.00223155,1.705E-05,-3.09E-06,0.0005926,-7.045E-05,0.00226466,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_ankle_roll.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_ankle_roll.STL,,208-3,left ankle roll cs,left ankle roll a,left_ankle_roll,revolute,0.01,0,-0.04,0,0,0,left_ankle_pitch,1,0,0,30,12.56,-0.35,0.35,,,,,,,,
left_toe,0.031209,-0.0011085,-0.0063116,0,0,0,0.15135,8.141E-05,-1.005E-05,-1.89E-06,0.00010788,-1.115E-05,0.00015731,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_toe.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/left_toe.STL,,209-1,left toe cs,left toe a,left_toe,revolute,0.12318,-0.0035126,-0.034074,0,0,0,left_ankle_roll,0,1,0,30,12.56,-0.35,0.35,,,,,,,,
right_hip_pitch,-4.56163092187069E-08,-0.0470438768387433,-1.05882848145528E-07,0,0,0,1.35964020557471,0.00343703784206259,2.7662060765264E-10,-7.84771095407843E-09,0.00428307765360445,3.69873495937104E-09,0.00430371225683057,0,0,0,0,0,0,package://足式双臂机器人C/meshes/right_hip_pitch.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/right_hip_pitch.STL,,镜向201-2,right hip pitch cs,"right hip pitch a ",right_hip_pitch,revolute,0,-0.049982,-0.028857,0.5236,0,0,base_link,0,1,0,300,9.21,-2.62,2.62,,,,,,,,
right_hip_roll,0.00890485756708381,-2.2817975425804E-08,-0.0281584849611693,0,0,0,1.23462673386496,0.00186517108928788,-9.88429746528276E-10,0.000101774222037618,0.00203357637552442,-1.14684287447236E-10,0.00162566881868773,0,0,0,0,0,0,package://足式双臂机器人C/meshes/right_hip_roll.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://足式双臂机器人C/meshes/right_hip_roll.STL,,镜向202-2;镜向203-3,"right hip roll cs ","right hip roll a ",right_hip_roll,revolute,-0.0075,-0.108,0,-0.5236,0,0,right_hip_pitch,1,0,0,150,8.37,-1.92,0.17,,,,,,,,
