js_vx_desire,js_vy_desire,js_OmegaZ_desire,global_x,global_y,global_yaw
0.417405,0,0.999895,15,6.49935,1.5708
0.417405,0,0.999895,14.9995,6.49845,1.5724
0.417405,0,0.999895,14.999,6.49838,1.58596
0.417405,0,0.999895,14.9981,6.49907,1.61635
0.417405,0,0.999895,14.9963,6.49956,1.64737
0.417405,0,0.999895,14.994,6.49947,1.6749
0.417405,0,0.999895,14.9918,6.49908,1.69784
0.417405,0,0.999895,14.9897,6.49878,1.71661
0.417405,0,0.999895,14.9877,6.49882,1.73187
0.417405,0,0.999895,14.9859,6.49926,1.74315
0.470338,0,0.999766,14.9847,6.50002,1.75074
0.470338,0,0.999766,14.9836,6.50105,1.75685
0.470338,0,0.999766,14.9825,6.50237,1.76187
0.470338,0,0.999766,14.9814,6.50398,1.76565
0.470338,0,0.999766,14.9803,6.5059,1.76743
0.470338,0,0.999766,14.9792,6.508,1.76345
0.470338,0,0.999766,14.9781,6.51028,1.75256
0.470338,0,0.999766,14.9773,6.51264,1.73681
0.415609,0,0.999815,14.9773,6.51464,1.72429
0.415609,0,0.999815,14.9775,6.51658,1.71524
0.415609,0,0.999815,14.9779,6.51878,1.71035
0.415609,0,0.999815,14.9785,6.52159,1.7099
0.415609,0,0.999815,14.9791,6.52509,1.71268
0.415609,0,0.999815,14.9798,6.52906,1.71637
0.415609,0,0.999815,14.9806,6.53315,1.7182
0.415609,0,0.999815,14.982,6.53695,1.71964
0.415609,0,0.999815,14.984,6.54036,1.72183
0.411506,0,0.999841,14.9866,6.54345,1.7249
0.411506,0,0.999841,14.9896,6.54633,1.72872
0.411506,0,0.999841,14.9928,6.54924,1.7332
0.411506,0,0.999841,14.9963,6.55244,1.73756
0.411506,0,0.999841,15,6.55574,1.74219
0.411506,0,0.999841,15.004,6.55901,1.74753
0.411506,0,0.999841,15.0082,6.56234,1.75376
0.411506,0,0.999841,15.0126,6.56584,1.76113
0.411506,0,0.999841,15.0175,6.56959,1.77013
0.411506,0,0.999841,15.0226,6.57352,1.78134
0.411506,0,0.999841,15.0277,6.57744,1.79399
0.411506,0,0.999841,15.0324,6.58103,1.80593
0.436998,0,0.999831,15.0366,6.58408,1.8157
0.436998,0,0.999831,15.041,6.58877,1.83022
0.436998,0,0.999831,15.0454,6.59459,1.84683
0.436998,0,0.999831,15.0489,6.60052,1.86495
0.436998,0,0.999831,15.0515,6.60639,1.88411
0.436998,0,0.999831,15.0535,6.61189,1.9029
0.436998,0,0.999831,15.0549,6.61673,1.92088
0.436998,0,0.999831,15.056,6.62075,1.9377
0.436998,0,0.999831,15.0566,6.62399,1.95304
0.436998,0,0.999831,15.0565,6.62698,1.96846
0.379373,0,0.999633,15.0557,6.62968,1.985
0.379373,0,0.999633,15.0543,6.63196,2.00218
0.379373,0,0.999633,15.0523,6.63386,2.01974
0.379373,0,0.999633,15.0499,6.63551,2.03759
0.379373,0,0.999633,15.0471,6.63711,2.05557
0.379373,0,0.999633,15.0438,6.63882,2.07345
0.379373,0,0.999633,15.0401,6.64071,2.09109
0.379373,0,0.999633,15.0359,6.6428,2.10858
0.379373,0,0.999633,15.0313,6.6451,2.12624
0.379373,0,0.999633,15.0262,6.64767,2.14449
0.379373,0,0.999633,15.0206,6.65053,2.16367
0.379373,0,0.999633,15.0146,6.65368,2.18375
0,0,0.999715,15.008,6.65713,2.20425
0,0,0.999715,15.0009,6.66098,2.22427
0,0,0.999715,14.9933,6.66537,2.2428
0,0,0.999715,14.9856,6.67023,2.25798
0,0,0.999715,14.9778,6.67535,2.26754
0,0,0.999715,14.9695,6.67799,2.28275
0,0,0.999715,14.9629,6.68151,2.29428
0.263247,0,0.999878,14.9575,6.68535,2.30394
0.263247,0,0.999878,14.9525,6.689,2.31651
0.263247,0,0.999878,14.9474,6.69223,2.32913
0.263247,0,0.999878,14.9422,6.69507,2.34081
0.263247,0,0.999878,14.9373,6.69778,2.35161
0.263247,0,0.999878,14.933,6.70065,2.36217
0.263247,0,0.999878,14.9292,6.70413,2.37202
0.263247,0,0.999878,14.926,6.70825,2.38137
0.263247,0,0.999878,14.9236,6.71272,2.3916
0.263247,0,0.999878,14.9218,6.7173,2.40347
0.263247,0,0.999878,14.9204,6.72195,2.41696
0.63515,0,0.999703,14.9193,6.72672,2.43162
0.63515,0,0.999703,14.9185,6.7316,2.44615
0.63515,0,0.999703,14.9178,6.73667,2.45992
0.63515,0,0.999703,14.9172,6.74208,2.474
0.63515,0,0.999703,14.9166,6.74797,2.48971
0.63515,0,0.999703,14.9161,6.75433,2.50759
0.63515,0,0.999703,14.9155,6.76092,2.52704
0.63515,0,0.999703,14.9148,6.76733,2.5461
0.63515,0,0.999703,14.9141,6.77316,2.56323
0.903418,0,0.998021,14.9128,6.77934,2.57974
0.903418,0,0.998021,14.9101,6.7867,2.59949
0.903418,0,0.998021,14.907,6.79426,2.61987
0.903418,0,0.998021,14.9035,6.80129,2.64018
0.903418,0,0.998021,14.8997,6.80778,2.66047
0.903418,0,0.998021,14.8956,6.81364,2.68003
0.903418,0,0.998021,14.891,6.81868,2.69834
0.903418,0,0.998021,14.8859,6.82287,2.71503
0.903418,0,0.998021,14.8801,6.82644,2.7315
0.903418,0,0.998021,14.8737,6.82938,2.74789
1,0,0.932233,14.867,6.8318,2.76386
1,0,0.932233,14.8598,6.83389,2.77901
1,0,0.932233,14.8522,6.83577,2.79326
1,0,0.932233,14.8441,6.83752,2.80721
1,0,0.932233,14.8354,6.83918,2.82114
1,0,0.932233,14.8261,6.84075,2.83502
1,0,0.932233,14.8159,6.84226,2.84886
1,0,0.932233,14.8049,6.84369,2.86282
1,0,0.451832,14.793,6.84499,2.87677
1,0,0.451832,14.7803,6.84608,2.8858
1,0,0.451832,14.7667,6.84717,2.88611
1,0,0.451832,14.7523,6.84881,2.87985
1,0,0.451832,14.7366,6.85038,2.8729
1,0,0.451832,14.7199,6.85181,2.87182
1,0,0.451832,14.7039,6.85407,2.87663
1,0,0.451832,14.6882,6.85665,2.88759
1,0,0.451832,14.673,6.85866,2.89724
1,0,0.275636,14.6585,6.85992,2.90219
1,0,0.275636,14.6444,6.86078,2.9023
1,0,0.275636,14.6304,6.86174,2.89957
1,0,0.275636,14.6161,6.86317,2.89695
1,0,0.275636,14.6013,6.8653,2.89602
1,0,0.275636,14.586,6.86825,2.89621
1,0,0.275636,14.5708,6.87184,2.89727
1,0,0.275636,14.5561,6.87584,2.89856
1,0,0.275636,14.5417,6.88029,2.89961
1,0,0.275636,14.527,6.8854,2.90093
1,0,0.275636,14.5115,6.89137,2.9041
1,0,0.504983,14.4946,6.89805,2.91073
1,0,0.504983,14.4758,6.90481,2.92233
1,0,0.504983,14.4551,6.91091,2.93847
1,0,0.504983,14.4331,6.91635,2.95454
1,0,0.504983,14.413,6.92193,2.96221
1,0,0.504983,14.3929,6.92666,2.97288
1,0,0.504983,14.3738,6.93066,2.98162
1,0,-0.0475633,14.3562,6.93418,2.99012
1,0,-0.0475633,14.3401,6.93737,2.99698
